week,date,date_end,title,deadline, reading,content,tutorial,assignment
1,2022-09-05,,Introduction to the course,,,"/materials/01_intro",,
1,2022-09-07,,"R, Rstudio, and data visualization",,MD Ch 1,,,
2,2022-09-11,,Tutorial 1,11:59 PM,MD Ch 2,,https://mblackwell.shinyapps.io/01-r-basics-data-viz/,
2,2022-09-12,,Data visualization,,,"materials/02_r_data_viz",,
2,2022-09-13,,Tutorial 2,11:59 PM,,,https://mblackwell.shinyapps.io/02-data-wrangling/,
2,2022-09-14,,Data wrangling,,MD Ch 3,"materials/02_r_data_viz",,
3,2022-09-18,,Tutorial 3,11:59 PM,QSS 2.1-2.2,,https://mblackwell.shinyapps.io/03-causality/,
3,2022-09-19,,Data wrangling,,,"materials/03_data_wrangling",,
3,2022-09-20,,Problem Set 1,11:59 PM,,,,"/assignments/01_hw_data_viz"
3,2022-09-21,,Causal inference,,QSS Ch 2.3,"materials/03_data_wrangling",,
4,2022-09-26,,Causal inference and randomized experiments,,QSS 2.4,"/materials/04_causality",,
4,2022-09-27,,Problem Set 2,11:59 PM,,,,"/assignments/02_hw_data_wrangling"
4,2022-09-28,,Causal inference and observational studies,,QSS 2.5,"/materials/04_causality",,
4,2022-09-29,,Final Project Milestone 1,11:59 PM,,,,assignments/distill
5,2022-10-02,,Tutorial 4,11:59 PM,QSS Ch 2.6-3.3,,https://mblackwell.shinyapps.io/04-summarizing-data/,
5,2022-10-03,,Summarizing data,,,"/materials/05_measurement",,
5,2022-10-04,,Problem Set 3,11:59 PM,,,,"/assignments/03_hw_causality"
5,2022-10-05,,Survey sampling,,QSS 3.4,"/materials/05_measurement",,
6,2022-10-09,,Tutorial 5,11:59 PM,QSS Ch 3.5-3.6 or MD Ch 4,,https://mblackwell.shinyapps.io/05-correlation-tidying/,
6,2022-10-10,,Summarizing relationships in our data,,,"materials/06_bivariate_tidying",,
6,2022-10-11,,Problem Set 4,11:59 PM,,,,"assignments/04_hw_summarizing"
6,2022-10-12,,Importing and joining data,,,"materials/06_bivariate_tidying",,
6,2022-10-13,,Final Project Milestone 2,11:59 PM,,,,assignments/final-project
7,2022-10-16,,Tutorial 6,11:59 PM,QSS  4.1 (except 4.1.2),,http://mblackwell.shinyapps.io/06-loops/,
7,2022-10-17,,Midterm review & prediction,,,"materials/07_prediction",,
7,2022-10-18,,Regression,,MD Ch 5 or QSS 4.2.1-4.2.4,"materials/07_prediction",,
7,2022-10-19,2022-10-22,Exam 1,11:59 PM,,,,
8,2022-10-24,,Regression and model fit,,MD Ch 6.1-6.2 or QSS 4.2.6-4.3.2,"materials/08_regression",,
8,2022-10-26,,Multiple regression and interpretation,,,"materials/08_regression",,
9,2022-10-30,,Tutorial 7,11:59 PM,MD Ch 7,,https://mblackwell.shinyapps.io/07-regression/,
9,2022-10-31,,Sampling,,,"materials/09_sampling",,
9,2022-11-01,,Problem Set 5,11:59 PM,,,,/assignments/05_hw_regression
9,2022-11-02,,Sampling distributions,,,"materials/09_sampling",,
9,2022-11-03,,Final Project Milestone 3,11:59 PM,,,,assignments/final-project
10,2022-11-06,,Tutorial 8,11:59 PM,MD Ch 8/IMS Ch 12,,https://mblackwell.shinyapps.io/08-bootstrap/,
10,2022-11-07,,The bootstrap and confidence intervals,,,"materials/10_bootstrap",,
10,2022-11-08,,Problem Set 6,11:59 PM,,,,/assignments/06_hw_sampling
10,2022-11-09,,The bootstrap and confidence intervals,,,"materials/10_bootstrap",,
11,2022-11-14,,Hypothesis testing,,MD Ch 9/IMS Ch 11,"materials/11_hyp_tests",,
11,2022-11-15,,Problem Set 7,11:59 PM,,,,/assignments/07_hw_bootstrap
11,2022-11-16,,Hypothesis testing,,,"materials/11_hyp_tests",,
11,2022-11-17,,Final Project Milestone 4,11:59 PM,,,,assignments/final-project
12,2022-11-22,,Hypothesis testing,,,,,
13,2022-11-28,,Mathematical models of uncertainty,,IMS Ch 13,"materials/12_tests_models",,
13,2022-11-29,,Problem Set 8,11:59 PM,,,,/assignments/08_hw_hyp_tests
13,2022-11-30,,Mathematical models of uncertainty,,,"materials/12_tests_models",,
14,2022-12-05,,Uncertainty in regression,,QSS Ch 7.3,"materials/14_ols_inference",,
14,2022-12-07,2022-12-10,Exam 2,11:59 PM,,,,
